NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: SALEM, SALEM HARBOR 
State: MA 
Stationid: 8442645
Prediction Type: Harmonic
From: 20220101 03:01 - 20221231 18:18
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2022/05/14	Sat	04:29 PM	0.32		10			L
2022/05/14	Sat	10:44 PM	10.15		309			H
2022/05/15	Sun	05:04 AM	-0.61		-19			L
2022/05/15	Sun	11:16 AM	9.31		284			H
2022/05/15	Sun	05:15 PM	0.10		3			L
2022/05/15	Sun	11:29 PM	10.68		326			H
2022/05/16	Mon	05:52 AM	-1.12		-34			L
2022/05/16	Mon	12:05 PM	9.49		289			H
2022/05/16	Mon	06:02 PM	-0.06		-2			L
2022/05/17	Tue	12:16 AM	11.07		337			H
2022/05/17	Tue	06:41 AM	-1.46		-45			L
2022/05/17	Tue	12:55 PM	9.56		291			H
2022/05/17	Tue	06:50 PM	-0.11		-3			L
2022/05/18	Wed	01:05 AM	11.27		344			H
2022/05/18	Wed	07:32 AM	-1.57		-48			L
2022/05/18	Wed	01:46 PM	9.53		290			H
2022/05/18	Wed	07:41 PM	-0.06		-2			L
2022/05/19	Thu	01:57 AM	11.24		343			H
2022/05/19	Thu	08:25 AM	-1.49		-45			L
2022/05/19	Thu	02:41 PM	9.40		287			H
2022/05/19	Thu	08:36 PM	0.09		3			L
2022/05/20	Fri	02:53 AM	11.01		336			H
2022/05/20	Fri	09:22 AM	-1.24		-38			L
2022/05/20	Fri	03:39 PM	9.25		282			H
2022/05/20	Fri	09:35 PM	0.31		9			L
2022/05/21	Sat	03:53 AM	10.64		324			H
2022/05/21	Sat	10:21 AM	-0.91		-28			L
2022/05/21	Sat	04:41 PM	9.12		278			H
2022/05/21	Sat	10:38 PM	0.52		16			L
2022/05/22	Sun	04:57 AM	10.19		311			H
2022/05/22	Sun	11:22 AM	-0.55		-17			L
2022/05/22	Sun	05:45 PM	9.08		277			H
2022/05/22	Sun	11:44 PM	0.68		21			L
2022/05/23	Mon	06:03 AM	9.76		297			H
2022/05/23	Mon	12:24 PM	-0.23		-7			L
2022/05/23	Mon	06:50 PM	9.17		280			H
2022/05/24	Tue	12:52 AM	0.70		21			L
2022/05/24	Tue	07:11 AM	9.42		287			H
2022/05/24	Tue	01:26 PM	0.03		1			L
2022/05/24	Tue	07:52 PM	9.35		285			H
2022/05/25	Wed	01:58 AM	0.59		18			L
2022/05/25	Wed	08:16 AM	9.18		280			H
2022/05/25	Wed	02:24 PM	0.25		8			L
2022/05/25	Wed	08:49 PM	9.54		291			H
2022/05/26	Thu	03:00 AM	0.42		13			L
2022/05/26	Thu	09:15 AM	8.98		274			H
2022/05/26	Thu	03:17 PM	0.47		14			L
2022/05/26	Thu	09:40 PM	9.67		295			H
2022/05/27	Fri	03:55 AM	0.28		9			L
2022/05/27	Fri	10:10 AM	8.79		268			H
2022/05/27	Fri	04:06 PM	0.72		22			L
2022/05/27	Fri	10:27 PM	9.69		295			H
2022/05/28	Sat	04:44 AM	0.19		6			L
2022/05/28	Sat	10:59 AM	8.59		262			H
2022/05/28	Sat	04:49 PM	0.98		30			L
2022/05/28	Sat	11:09 PM	9.63		294			H
2022/05/29	Sun	05:27 AM	0.19		6			L
2022/05/29	Sun	11:43 AM	8.39		256			H
2022/05/29	Sun	05:29 PM	1.22		37			L
2022/05/29	Sun	11:47 PM	9.51		290			H
2022/05/30	Mon	06:06 AM	0.24		7			L
2022/05/30	Mon	12:22 PM	8.19		250			H
2022/05/30	Mon	06:06 PM	1.44		44			L
2022/05/31	Tue	12:22 AM	9.37		286			H
2022/05/31	Tue	06:42 AM	0.33		10			L
2022/05/31	Tue	12:58 PM	8.01		244			H
2022/05/31	Tue	06:42 PM	1.60		49			L
2022/06/01	Wed	12:57 AM	9.24		282			H
2022/06/01	Wed	07:19 AM	0.43		13			L
2022/06/01	Wed	01:34 PM	7.86		240			H
2022/06/01	Wed	07:19 PM	1.73		53			L
2022/06/02	Thu	01:33 AM	9.12		278			H
2022/06/02	Thu	07:57 AM	0.54		16			L
2022/06/02	Thu	02:12 PM	7.75		236			H
2022/06/02	Thu	07:58 PM	1.82		55			L
2022/06/03	Fri	02:11 AM	9.00		274			H
2022/06/03	Fri	08:37 AM	0.65		20			L
2022/06/03	Fri	02:52 PM	7.68		234			H
2022/06/03	Fri	08:41 PM	1.90		58			L
2022/06/04	Sat	02:52 AM	8.87		270			H
2022/06/04	Sat	09:20 AM	0.74		23			L
2022/06/04	Sat	03:35 PM	7.65		233			H
2022/06/04	Sat	09:27 PM	1.96		60			L
2022/06/05	Sun	03:37 AM	8.71		265			H
2022/06/05	Sun	10:06 AM	0.84		26			L
2022/06/05	Sun	04:21 PM	7.69		234			H
2022/06/05	Sun	10:16 PM	1.98		60			L
2022/06/06	Mon	04:26 AM	8.55		261			H
2022/06/06	Mon	10:53 AM	0.91		28			L
2022/06/06	Mon	05:10 PM	7.81		238			H
2022/06/06	Mon	11:09 PM	1.91		58			L
2022/06/07	Tue	05:19 AM	8.41		256			H
2022/06/07	Tue	11:42 AM	0.96		29			L
2022/06/07	Tue	06:02 PM	8.04		245			H
2022/06/08	Wed	12:05 AM	1.73		53			L
2022/06/08	Wed	06:15 AM	8.32		254			H
2022/06/08	Wed	12:33 PM	0.95		29			L
2022/06/08	Wed	06:54 PM	8.40		256			H
2022/06/09	Thu	01:02 AM	1.39		42			L
2022/06/09	Thu	07:12 AM	8.33		254			H
2022/06/09	Thu	01:24 PM	0.89		27			L
2022/06/09	Thu	07:45 PM	8.88		271			H
2022/06/10	Fri	01:59 AM	0.90		27			L
2022/06/10	Fri	08:09 AM	8.44		257			H
2022/06/10	Fri	02:15 PM	0.77		23			L
2022/06/10	Fri	08:34 PM	9.43		287			H
2022/06/11	Sat	02:53 AM	0.32		10			L
2022/06/11	Sat	09:05 AM	8.62		263			H
2022/06/11	Sat	03:06 PM	0.60		18			L
2022/06/11	Sat	09:24 PM	10.01		305			H
2022/06/12	Sun	03:47 AM	-0.29		-9			L
2022/06/12	Sun	09:59 AM	8.85		270			H
2022/06/12	Sun	03:56 PM	0.39		12			L
2022/06/12	Sun	10:14 PM	10.56		322			H
2022/06/13	Mon	04:40 AM	-0.85		-26			L
2022/06/13	Mon	10:53 AM	9.08		277			H
2022/06/13	Mon	04:47 PM	0.17		5			L
2022/06/13	Mon	11:05 PM	11.02		336			H
2022/06/14	Tue	05:32 AM	-1.30		-40			L
2022/06/14	Tue	11:46 AM	9.29		283			H
2022/06/14	Tue	05:39 PM	-0.02		-1			L
2022/06/14	Tue	11:57 PM	11.35		346			H
2022/06/15	Wed	06:24 AM	-1.58		-48			L
2022/06/15	Wed	12:39 PM	9.44		288			H
2022/06/15	Wed	06:31 PM	-0.14		-4			L
2022/06/16	Thu	12:49 AM	11.48		350			H
2022/06/16	Thu	07:17 AM	-1.67		-51			L
2022/06/16	Thu	01:32 PM	9.52		290			H
2022/06/16	Thu	07:26 PM	-0.16		-5			L
2022/06/17	Fri	01:44 AM	11.40		347			H
2022/06/17	Fri	08:11 AM	-1.58		-48			L
2022/06/17	Fri	02:27 PM	9.54		291			H
2022/06/17	Fri	08:22 PM	-0.08		-2			L
2022/06/18	Sat	02:40 AM	11.12		339			H
2022/06/18	Sat	09:06 AM	-1.34		-41			L
2022/06/18	Sat	03:24 PM	9.53		290			H
2022/06/18	Sat	09:21 PM	0.07		2			L
2022/06/19	Sun	03:39 AM	10.68		326			H
2022/06/19	Sun	10:02 AM	-1.00		-30			L
2022/06/19	Sun	04:23 PM	9.50		290			H
2022/06/19	Sun	10:22 PM	0.26		8			L
2022/06/20	Mon	04:39 AM	10.14		309			H
2022/06/20	Mon	10:59 AM	-0.59		-18			L
2022/06/20	Mon	05:22 PM	9.48		289			H
2022/06/20	Mon	11:25 PM	0.44		13			L
2022/06/21	Tue	05:42 AM	9.59		292			H
2022/06/21	Tue	11:57 AM	-0.16		-5			L
2022/06/21	Tue	06:23 PM	9.48		289			H
2022/06/22	Wed	12:30 AM	0.56		17			L
2022/06/22	Wed	06:46 AM	9.09		277			H
2022/06/22	Wed	12:54 PM	0.26		8			L
2022/06/22	Wed	07:22 PM	9.50		290			H
2022/06/23	Thu	01:34 AM	0.59		18			L
2022/06/23	Thu	07:49 AM	8.70		265			H
2022/06/23	Thu	01:51 PM	0.64		20			L
2022/06/23	Thu	08:18 PM	9.52		290			H
2022/06/24	Fri	02:34 AM	0.56		17			L
2022/06/24	Fri	08:49 AM	8.41		256			H
2022/06/24	Fri	02:44 PM	0.97		30			L
2022/06/24	Fri	09:09 PM	9.49		289			H
2022/06/25	Sat	03:30 AM	0.52		16			L
2022/06/25	Sat	09:44 AM	8.20		250			H
2022/06/25	Sat	03:34 PM	1.26		38			L
2022/06/25	Sat	09:57 PM	9.43		287			H
2022/06/26	Sun	04:20 AM	0.51		16			L
2022/06/26	Sun	10:35 AM	8.03		245			H
2022/06/26	Sun	04:19 PM	1.48		45			L
2022/06/26	Sun	10:41 PM	9.34		285			H
2022/06/27	Mon	05:04 AM	0.52		16			L
2022/06/27	Mon	11:20 AM	7.90		241			H
2022/06/27	Mon	05:01 PM	1.64		50			L
2022/06/27	Mon	11:21 PM	9.25		282			H
2022/06/28	Tue	05:44 AM	0.55		17			L
2022/06/28	Tue	12:00 PM	7.80		238			H
2022/06/28	Tue	05:40 PM	1.74		53			L
2022/06/28	Tue	11:58 PM	9.18		280			H
2022/06/29	Wed	06:21 AM	0.57		17			L
2022/06/29	Wed	12:36 PM	7.73		236			H
2022/06/29	Wed	06:17 PM	1.77		54			L
2022/06/30	Thu	12:34 AM	9.14		279			H
2022/06/30	Thu	06:57 AM	0.59		18			L
2022/06/30	Thu	01:12 PM	7.71		235			H
2022/06/30	Thu	06:54 PM	1.77		54			L
2022/07/01	Fri	01:10 AM	9.12		278			H
2022/07/01	Fri	07:33 AM	0.58		18			L
2022/07/01	Fri	01:47 PM	7.74		236			H
2022/07/01	Fri	07:33 PM	1.75		53			L
2022/07/02	Sat	01:47 AM	9.08		277			H
2022/07/02	Sat	08:11 AM	0.58		18			L
2022/07/02	Sat	02:25 PM	7.82		238			H
2022/07/02	Sat	08:15 PM	1.70		52			L
2022/07/03	Sun	02:26 AM	9.02		275			H
2022/07/03	Sun	08:51 AM	0.58		18			L
2022/07/03	Sun	03:05 PM	7.94		242			H
2022/07/03	Sun	08:59 PM	1.65		50			L
2022/07/04	Mon	03:08 AM	8.92		272			H
2022/07/04	Mon	09:33 AM	0.59		18			L
2022/07/04	Mon	03:47 PM	8.12		247			H
2022/07/04	Mon	09:46 PM	1.56		48			L
2022/07/05	Tue	03:54 AM	8.78		268			H
2022/07/05	Tue	10:17 AM	0.64		20			L
2022/07/05	Tue	04:32 PM	8.33		254			H
2022/07/05	Tue	10:37 PM	1.43		44			L
2022/07/06	Wed	04:43 AM	8.61		262			H
2022/07/06	Wed	11:03 AM	0.71		22			L
2022/07/06	Wed	05:19 PM	8.60		262			H
2022/07/06	Wed	11:30 PM	1.23		37			L
2022/07/07	Thu	05:37 AM	8.44		257			H
2022/07/07	Thu	11:52 AM	0.79		24			L
2022/07/07	Thu	06:11 PM	8.92		272			H
2022/07/08	Fri	12:27 AM	0.94		29			L
2022/07/08	Fri	06:36 AM	8.33		254			H
2022/07/08	Fri	12:45 PM	0.84		26			L
2022/07/08	Fri	07:05 PM	9.32		284			H
2022/07/09	Sat	01:26 AM	0.56		17			L
2022/07/09	Sat	07:37 AM	8.33		254			H
2022/07/09	Sat	01:39 PM	0.81		25			L
2022/07/09	Sat	08:00 PM	9.77		298			H
2022/07/10	Sun	02:25 AM	0.10		3			L
2022/07/10	Sun	08:37 AM	8.44		257			H
2022/07/10	Sun	02:35 PM	0.69		21			L
2022/07/10	Sun	08:55 PM	10.24		312			H
2022/07/11	Mon	03:23 AM	-0.39		-12			L
2022/07/11	Mon	09:36 AM	8.63		263			H
2022/07/11	Mon	03:31 PM	0.49		15			L
2022/07/11	Mon	09:51 PM	10.70		326			H
2022/07/12	Tue	04:20 AM	-0.85		-26			L
2022/07/12	Tue	10:33 AM	8.89		271			H
2022/07/12	Tue	04:27 PM	0.23		7			L
2022/07/12	Tue	10:47 PM	11.09		338			H
2022/07/13	Wed	05:15 AM	-1.23		-37			L
2022/07/13	Wed	11:30 AM	9.18		280			H
2022/07/13	Wed	05:22 PM	-0.04		-1			L
2022/07/13	Wed	11:42 PM	11.37		347			H
2022/07/14	Thu	06:09 AM	-1.49		-45			L
2022/07/14	Thu	12:24 PM	9.45		288			H
2022/07/14	Thu	06:17 PM	-0.24		-7			L
2022/07/15	Fri	12:37 AM	11.47		350			H
2022/07/15	Fri	07:02 AM	-1.58		-48			L
2022/07/15	Fri	01:17 PM	9.66		294			H
2022/07/15	Fri	07:12 PM	-0.35		-11			L
2022/07/16	Sat	01:31 AM	11.36		346			H
2022/07/16	Sat	07:54 AM	-1.50		-46			L
2022/07/16	Sat	02:10 PM	9.79		298			H
2022/07/16	Sat	08:07 PM	-0.32		-10			L
2022/07/17	Sun	02:25 AM	11.03		336			H
2022/07/17	Sun	08:46 AM	-1.25		-38			L
2022/07/17	Sun	03:04 PM	9.84		300			H
2022/07/17	Sun	09:04 PM	-0.19		-6			L
2022/07/18	Mon	03:20 AM	10.53		321			H
2022/07/18	Mon	09:38 AM	-0.87		-27			L
2022/07/18	Mon	03:58 PM	9.81		299			H
2022/07/18	Mon	10:01 PM	0.03		1			L
2022/07/19	Tue	04:17 AM	9.91		302			H
2022/07/19	Tue	10:30 AM	-0.39		-12			L
2022/07/19	Tue	04:52 PM	9.70		296			H
2022/07/19	Tue	11:00 PM	0.29		9			L
2022/07/20	Wed	05:15 AM	9.27		283			H
2022/07/20	Wed	11:23 AM	0.15		5			L
2022/07/20	Wed	05:48 PM	9.53		290			H
2022/07/21	Thu	12:00 AM	0.54		16			L
2022/07/21	Thu	06:15 AM	8.68		265			H
2022/07/21	Thu	12:18 PM	0.69		21			L
2022/07/21	Thu	06:45 PM	9.37		286			H
2022/07/22	Fri	01:01 AM	0.73		22			L
2022/07/22	Fri	07:18 AM	8.22		251			H
2022/07/22	Fri	01:13 PM	1.14		35			L
2022/07/22	Fri	07:41 PM	9.22		281			H
2022/07/23	Sat	02:02 AM	0.84		26			L
2022/07/23	Sat	08:18 AM	7.92		241			H
2022/07/23	Sat	02:08 PM	1.48		45			L
2022/07/23	Sat	08:35 PM	9.12		278			H
2022/07/24	Sun	02:59 AM	0.87		27			L
2022/07/24	Sun	09:15 AM	7.74		236			H
2022/07/24	Sun	03:01 PM	1.70		52			L
2022/07/24	Sun	09:26 PM	9.05		276			H
2022/07/25	Mon	03:51 AM	0.87		27			L
2022/07/25	Mon	10:07 AM	7.66		233			H
2022/07/25	Mon	03:50 PM	1.81		55			L
2022/07/25	Mon	10:13 PM	9.03		275			H
2022/07/26	Tue	04:38 AM	0.83		25			L
2022/07/26	Tue	10:54 AM	7.64		233			H
2022/07/26	Tue	04:34 PM	1.83		56			L
2022/07/26	Tue	10:56 PM	9.05		276			H
2022/07/27	Wed	05:19 AM	0.77		23			L
2022/07/27	Wed	11:35 AM	7.67		234			H
2022/07/27	Wed	05:16 PM	1.78		54			L
2022/07/27	Wed	11:36 PM	9.09		277			H
2022/07/28	Thu	05:57 AM	0.70		21			L
2022/07/28	Thu	12:12 PM	7.74		236			H
2022/07/28	Thu	05:54 PM	1.68		51			L
2022/07/29	Fri	12:12 AM	9.14		279			H
2022/07/29	Fri	06:33 AM	0.62		19			L
2022/07/29	Fri	12:46 PM	7.85		239			H
2022/07/29	Fri	06:32 PM	1.56		48			L
2022/07/30	Sat	12:48 AM	9.19		280			H
2022/07/30	Sat	07:08 AM	0.53		16			L
2022/07/30	Sat	01:20 PM	8.01		244			H
2022/07/30	Sat	07:10 PM	1.41		43			L
2022/07/31	Sun	01:23 AM	9.21		281			H
2022/07/31	Sun	07:43 AM	0.45		14			L
2022/07/31	Sun	01:55 PM	8.22		251			H
2022/07/31	Sun	07:50 PM	1.26		38			L
2022/08/01	Mon	02:01 AM	9.19		280			H
2022/08/01	Mon	08:20 AM	0.41		12			L
2022/08/01	Mon	02:32 PM	8.45		258			H
2022/08/01	Mon	08:32 PM	1.11		34			L
2022/08/02	Tue	02:41 AM	9.11		278			H
2022/08/02	Tue	09:00 AM	0.41		12			L
2022/08/02	Tue	03:12 PM	8.70		265			H
2022/08/02	Tue	09:18 PM	0.95		29			L
2022/08/03	Wed	03:25 AM	8.96		273			H
2022/08/03	Wed	09:42 AM	0.48		15			L
2022/08/03	Wed	03:55 PM	8.94		272			H
2022/08/03	Wed	10:07 PM	0.81		25			L
2022/08/04	Thu	04:14 AM	8.75		267			H
2022/08/04	Thu	10:28 AM	0.61		19			L
2022/08/04	Thu	04:42 PM	9.16		279			H
2022/08/04	Thu	11:00 PM	0.67		20			L
2022/08/05	Fri	05:08 AM	8.51		259			H
2022/08/05	Fri	11:17 AM	0.76		23			L
2022/08/05	Fri	05:34 PM	9.37		286			H
2022/08/05	Fri	11:58 PM	0.52		16			L
2022/08/06	Sat	06:07 AM	8.30		253			H
2022/08/06	Sat	12:12 PM	0.89		27			L
2022/08/06	Sat	06:32 PM	9.59		292			H
2022/08/07	Sun	01:00 AM	0.31		9			L
2022/08/07	Sun	07:12 AM	8.22		251			H
2022/08/07	Sun	01:11 PM	0.92		28			L
2022/08/07	Sun	07:33 PM	9.88		301			H
2022/08/08	Mon	02:03 AM	0.02		1			L
2022/08/08	Mon	08:16 AM	8.30		253			H
2022/08/08	Mon	02:12 PM	0.81		25			L
2022/08/08	Mon	08:35 PM	10.23		312			H
2022/08/09	Tue	03:04 AM	-0.33		-10			L
2022/08/09	Tue	09:19 AM	8.53		260			H
2022/08/09	Tue	03:13 PM	0.56		17			L
2022/08/09	Tue	09:36 PM	10.61		323			H
2022/08/10	Wed	04:04 AM	-0.71		-22			L
2022/08/10	Wed	10:19 AM	8.87		270			H
2022/08/10	Wed	04:12 PM	0.23		7			L
2022/08/10	Wed	10:35 PM	10.95		334			H
2022/08/11	Thu	05:01 AM	-1.05		-32			L
2022/08/11	Thu	11:16 AM	9.26		282			H
2022/08/11	Thu	05:10 PM	-0.12		-4			L
2022/08/11	Thu	11:31 PM	11.18		341			H
2022/08/12	Fri	05:54 AM	-1.28		-39			L
2022/08/12	Fri	12:09 PM	9.63		294			H
2022/08/12	Fri	06:04 PM	-0.40		-12			L
2022/08/13	Sat	12:24 AM	11.22		342			H
2022/08/13	Sat	06:44 AM	-1.34		-41			L
2022/08/13	Sat	12:59 PM	9.91		302			H
2022/08/13	Sat	06:57 PM	-0.55		-17			L
2022/08/14	Sun	01:16 AM	11.05		337			H
2022/08/14	Sun	07:33 AM	-1.22		-37			L
2022/08/14	Sun	01:49 PM	10.07		307			H
2022/08/14	Sun	07:50 PM	-0.54		-16			L
2022/08/15	Mon	02:07 AM	10.68		326			H
2022/08/15	Mon	08:20 AM	-0.92		-28			L
2022/08/15	Mon	02:37 PM	10.07		307			H
2022/08/15	Mon	08:42 PM	-0.38		-12			L
2022/08/16	Tue	02:58 AM	10.13		309			H
2022/08/16	Tue	09:08 AM	-0.47		-14			L
2022/08/16	Tue	03:26 PM	9.94		303			H
2022/08/16	Tue	09:35 PM	-0.10		-3			L
2022/08/17	Wed	03:50 AM	9.50		290			H
2022/08/17	Wed	09:56 AM	0.07		2			L
2022/08/17	Wed	04:16 PM	9.68		295			H
2022/08/17	Wed	10:29 PM	0.25		8			L
2022/08/18	Thu	04:44 AM	8.85		270			H
2022/08/18	Thu	10:46 AM	0.65		20			L
2022/08/18	Thu	05:08 PM	9.36		285			H
2022/08/18	Thu	11:24 PM	0.62		19			L
2022/08/19	Fri	05:40 AM	8.26		252			H
2022/08/19	Fri	11:38 AM	1.20		37			L
2022/08/19	Fri	06:03 PM	9.04		276			H
2022/08/20	Sat	12:22 AM	0.94		29			L
2022/08/20	Sat	06:41 AM	7.81		238			H
2022/08/20	Sat	12:33 PM	1.64		50			L
2022/08/20	Sat	07:00 PM	8.79		268			H
2022/08/21	Sun	01:23 AM	1.14		35			L
2022/08/21	Sun	07:43 AM	7.54		230			H
2022/08/21	Sun	01:30 PM	1.92		59			L
2022/08/21	Sun	07:58 PM	8.68		265			H
2022/08/22	Mon	02:22 AM	1.21		37			L
2022/08/22	Mon	08:42 AM	7.45		227			H
2022/08/22	Mon	02:27 PM	2.02		62			L
2022/08/22	Mon	08:53 PM	8.68		265			H
2022/08/23	Tue	03:17 AM	1.17		36			L
2022/08/23	Tue	09:35 AM	7.49		228			H
2022/08/23	Tue	03:19 PM	1.97		60			L
2022/08/23	Tue	09:43 PM	8.77		267			H
2022/08/24	Wed	04:06 AM	1.05		32			L
2022/08/24	Wed	10:23 AM	7.61		232			H
2022/08/24	Wed	04:07 PM	1.83		56			L
2022/08/24	Wed	10:29 PM	8.90		271			H
2022/08/25	Thu	04:49 AM	0.90		27			L
2022/08/25	Thu	11:05 AM	7.78		237			H
2022/08/25	Thu	04:50 PM	1.63		50			L
2022/08/25	Thu	11:10 PM	9.04		276			H
2022/08/26	Fri	05:28 AM	0.73		22			L
2022/08/26	Fri	11:42 AM	7.99		244			H
2022/08/26	Fri	05:30 PM	1.40		43			L
2022/08/26	Fri	11:47 PM	9.16		279			H
2022/08/27	Sat	06:03 AM	0.57		17			L
2022/08/27	Sat	12:16 PM	8.24		251			H
2022/08/27	Sat	06:08 PM	1.14		35			L
2022/08/28	Sun	12:23 AM	9.26		282			H
2022/08/28	Sun	06:37 AM	0.43		13			L
2022/08/28	Sun	12:49 PM	8.53		260			H
2022/08/28	Sun	06:46 PM	0.87		27			L
2022/08/29	Mon	12:58 AM	9.32		284			H
2022/08/29	Mon	07:12 AM	0.33		10			L
2022/08/29	Mon	01:22 PM	8.83		269			H
2022/08/29	Mon	07:25 PM	0.62		19			L
2022/08/30	Tue	01:36 AM	9.32		284			H
2022/08/30	Tue	07:48 AM	0.29		9			L
2022/08/30	Tue	01:58 PM	9.13		278			H
2022/08/30	Tue	08:07 PM	0.40		12			L
2022/08/31	Wed	02:16 AM	9.24		282			H
2022/08/31	Wed	08:27 AM	0.32		10			L
2022/08/31	Wed	02:38 PM	9.39		286			H
2022/08/31	Wed	08:52 PM	0.24		7			L
2022/09/01	Thu	03:01 AM	9.07		276			H
2022/09/01	Thu	09:10 AM	0.43		13			L
2022/09/01	Thu	03:22 PM	9.57		292			H
2022/09/01	Thu	09:42 PM	0.16		5			L
2022/09/02	Fri	03:50 AM	8.82		269			H
2022/09/02	Fri	09:57 AM	0.62		19			L
2022/09/02	Fri	04:11 PM	9.66		294			H
2022/09/02	Fri	10:36 PM	0.15		5			L
2022/09/03	Sat	04:45 AM	8.53		260			H
2022/09/03	Sat	10:50 AM	0.83		25			L
2022/09/03	Sat	05:06 PM	9.68		295			H
2022/09/03	Sat	11:35 PM	0.18		5			L
2022/09/04	Sun	05:47 AM	8.28		252			H
2022/09/04	Sun	11:48 AM	1.00		30			L
2022/09/04	Sun	06:09 PM	9.71		296			H
2022/09/05	Mon	12:39 AM	0.16		5			L
2022/09/05	Mon	06:55 AM	8.18		249			H
2022/09/05	Mon	12:52 PM	1.04		32			L
2022/09/05	Mon	07:16 PM	9.84		300			H
2022/09/06	Tue	01:46 AM	0.02		1			L
2022/09/06	Tue	08:03 AM	8.31		253			H
2022/09/06	Tue	01:58 PM	0.89		27			L
2022/09/06	Tue	08:22 PM	10.08		307			H
2022/09/07	Wed	02:50 AM	-0.24		-7			L
2022/09/07	Wed	09:07 AM	8.64		263			H
2022/09/07	Wed	03:02 PM	0.57		17			L
2022/09/07	Wed	09:25 PM	10.38		316			H
2022/09/08	Thu	03:50 AM	-0.55		-17			L
2022/09/08	Thu	10:07 AM	9.08		277			H
2022/09/08	Thu	04:03 PM	0.16		5			L
2022/09/08	Thu	10:25 PM	10.63		324			H
2022/09/09	Fri	04:46 AM	-0.81		-25			L
2022/09/09	Fri	11:02 AM	9.54		291			H
2022/09/09	Fri	05:00 PM	-0.24		-7			L
2022/09/09	Fri	11:20 PM	10.77		328			H
2022/09/10	Sat	05:36 AM	-0.95		-29			L
2022/09/10	Sat	11:52 AM	9.92		302			H
2022/09/10	Sat	05:52 PM	-0.54		-16			L
2022/09/11	Sun	12:11 AM	10.73		327			H
2022/09/11	Sun	06:23 AM	-0.92		-28			L
2022/09/11	Sun	12:39 PM	10.17		310			H
2022/09/11	Sun	06:42 PM	-0.67		-20			L
2022/09/12	Mon	12:59 AM	10.49		320			H
2022/09/12	Mon	07:08 AM	-0.71		-22			L
2022/09/12	Mon	01:23 PM	10.24		312			H
2022/09/12	Mon	07:30 PM	-0.63		-19			L
2022/09/13	Tue	01:46 AM	10.09		308			H
2022/09/13	Tue	07:51 AM	-0.35		-11			L
2022/09/13	Tue	02:07 PM	10.13		309			H
2022/09/13	Tue	08:18 PM	-0.42		-13			L
2022/09/14	Wed	02:33 AM	9.57		292			H
2022/09/14	Wed	08:35 AM	0.13		4			L
2022/09/14	Wed	02:52 PM	9.87		301			H
2022/09/14	Wed	09:05 PM	-0.09		-3			L
2022/09/15	Thu	03:21 AM	8.99		274			H
2022/09/15	Thu	09:20 AM	0.66		20			L
2022/09/15	Thu	03:37 PM	9.51		290			H
2022/09/15	Thu	09:54 PM	0.31		9			L
2022/09/16	Fri	04:10 AM	8.42		257			H
2022/09/16	Fri	10:07 AM	1.19		36			L
2022/09/16	Fri	04:25 PM	9.10		277			H
2022/09/16	Fri	10:45 PM	0.73		22			L
2022/09/17	Sat	05:03 AM	7.91		241			H
2022/09/17	Sat	10:57 AM	1.67		51			L
2022/09/17	Sat	05:18 PM	8.71		265			H
2022/09/17	Sat	11:41 PM	1.10		34			L
2022/09/18	Sun	06:01 AM	7.52		229			H
2022/09/18	Sun	11:52 AM	2.03		62			L
2022/09/18	Sun	06:16 PM	8.43		257			H
2022/09/19	Mon	12:40 AM	1.35		41			L
2022/09/19	Mon	07:03 AM	7.32		223			H
2022/09/19	Mon	12:51 PM	2.21		67			L
2022/09/19	Mon	07:17 PM	8.31		253			H
2022/09/20	Tue	01:40 AM	1.43		44			L
2022/09/20	Tue	08:04 AM	7.33		223			H
2022/09/20	Tue	01:50 PM	2.20		67			L
2022/09/20	Tue	08:15 PM	8.37		255			H
2022/09/21	Wed	02:37 AM	1.35		41			L
2022/09/21	Wed	08:58 AM	7.49		228			H
2022/09/21	Wed	02:46 PM	2.03		62			L
2022/09/21	Wed	09:08 PM	8.53		260			H
2022/09/22	Thu	03:27 AM	1.17		36			L
2022/09/22	Thu	09:46 AM	7.74		236			H
2022/09/22	Thu	03:35 PM	1.74		53			L
2022/09/22	Thu	09:55 PM	8.73		266			H
2022/09/23	Fri	04:11 AM	0.95		29			L
2022/09/23	Fri	10:28 AM	8.06		246			H
2022/09/23	Fri	04:20 PM	1.40		43			L
2022/09/23	Fri	10:38 PM	8.93		272			H
2022/09/24	Sat	04:51 AM	0.73		22			L
2022/09/24	Sat	11:05 AM	8.41		256			H
2022/09/24	Sat	05:02 PM	1.02		31			L
2022/09/24	Sat	11:17 PM	9.11		278			H
2022/09/25	Sun	05:27 AM	0.54		16			L
2022/09/25	Sun	11:40 AM	8.79		268			H
2022/09/25	Sun	05:41 PM	0.62		19			L
2022/09/25	Sun	11:55 PM	9.25		282			H
2022/09/26	Mon	06:02 AM	0.38		12			L
2022/09/26	Mon	12:14 PM	9.18		280			H
2022/09/26	Mon	06:20 PM	0.24		7			L
2022/09/27	Tue	12:32 AM	9.34		285			H
2022/09/27	Tue	06:38 AM	0.27		8			L
